Niv 2-T (00:05:80)-Jug [usuario]-HP 10-Lap2
Niv 2-T (00:04:61)-Jug [usuario]-HP 10-Lap2
Niv 2-T (00:04:53)-Jug [usuario]-HP 10-Lap2
Niv 2-T (00:05:54)-Jug [test]-HP 10-Lap2
Niv 2-T (00:11:60)-Jug [test]-HP 10-Lap2
Niv 2 | T (Tiempo: 00:04:55) | Jug [test] | HP 10 | Lap2
Niv 2 | T (Tiempo: 00:04:55) | Jug [test] | HP 10 | Lap3
Niv 2 | T (Tiempo: 00:04:55) | Jug [test] | HP 10 | Lap2
Niv 2 | T (Tiempo: 00:04:55) | Jug [test] | HP 10 | Lap3
Niv 2 | T (Tiempo: 00:04:93) | Jug [test] | HP 10 | Lap2
Niv 2 | T (Tiempo: 00:16:60) | Jug [test] | HP 10 | Lap2
Niv 2 | T (Tiempo: 00:05:77) | Jug [test] | HP 10 | Lap2
Niv 2 | T (Tiempo: 00:05:78) | Jug [test] | HP 10 | Lap2
Niv 2 | T (Tiempo: 00:05:82) | Jug [test] | HP 10 | Lap2
Niv 2 | T (Tiempo: 00:16:91) | Jug [test] | HP 10 | Lap2
Niv 2 | T (Tiempo: 00:14:60) | Jug [test] | HP 10 | Lap2
Niv 2 | T (Tiempo: 00:14:60) | Jug [test] | HP 10 | Lap3
Niv 2 | T (Tiempo: 00:26:89) | Jug [test] | HP 10 | Lap2
Niv 2 | T (Tiempo: 00:26:89) | Jug [test] | HP 10 | Lap3
Niv 2 | T (Tiempo: 00:23:46) | Jug [test] | HP 10 | Lap2
Niv 2 | T (Tiempo: 00:20:23) | Jug [test] | HP 10 | Lap2
Niv 2 | T (Tiempo: 00:43:35) | Jug [test] | HP 10 | Lap2
Niv 2 | T (Tiempo: 00:43:81) | Jug [test] | HP 5 | Lap2
Niv 2 | T (Tiempo: 00:51:73) | Jug [test] | HP 3 | Lap2
Niv 2 | T (Tiempo: 00:49:06) | Jug [test] | HP 5 | Lap2
Niv 2 | T (Tiempo: 00:48:65) | Jug [test] | HP 1 | Lap2
Niv 2 | T (Tiempo: 00:53:03) | Jug [test] | HP 5 | Lap2
Niv 2 | T (Tiempo: 00:52:68) | Jug [test] | HP 2 | Lap2
Niv 2 | T (Tiempo: 00:47:80) | Jug [test] | HP 8 | Lap2
Niv 2 | T (Tiempo: 01:01:58) | Jug [test] | HP 1 | Lap2
Niv 2 | T (Tiempo: 00:05:34) | Jug [test] | HP 12 | Lap2
Niv 2 | T (Tiempo: 01:01:87) | Jug [test] | HP 4 | Lap2
Niv 2 | T (Tiempo: 00:59:63) | Jug [test] | HP 11 | Lap2
Niv 2 | T (Tiempo: 01:01:44) | Jug [test] | HP 11 | Lap2
Niv 2 | T (Tiempo: 00:54:56) | Jug [test] | HP 7 | Lap2
Niv 2 | T (Tiempo: 00:57:23) | Jug [test] | HP 7 | Lap2
Niv 2 | T (Tiempo: 00:53:73) | Jug [test] | HP 6 | Lap2
Niv 2 | T (Tiempo: 01:00:75) | Jug [inasho] | HP 8 | Lap1 | Balas 64
Niv 2 | T (Tiempo: 00:53:17) | Jug [inasho] | HP 5 | Lap1 | Balas 89
